Loss,Accuracy,Batch
0.13928036,0.9360756,4680
0.1415536,0.9349911,4690
0.14814419,0.9337448,4700
0.17265654,0.9161179,4710
0.19789405,0.9068161,4720
0.14223889,0.93426913,4730
0.17148352,0.9240771,4740
0.17097408,0.9192005,4750
0.15056436,0.92617756,4760
0.1560141,0.9277452,4770
0.14541556,0.9338425,4780
0.13870355,0.9356436,4790
0.123910405,0.9453211,4800
0.14890796,0.9309185,4810
0.19767588,0.9030642,4820
0.14882423,0.93132955,4830
0.15449177,0.92914575,4840
0.16057563,0.922921,4850
0.14520524,0.93489575,4860
0.15570268,0.92914945,4870
0.14562824,0.93574786,4880
0.1376986,0.94061285,4890
0.13329941,0.94025725,4900
0.14120443,0.9356329,4910
0.13240784,0.9430411,4920
0.14420238,0.93701655,4930
0.14938651,0.9325501,4940
0.13965851,0.93743974,4950
0.14930625,0.935198,4960
0.1363531,0.93587035,4970
0.14495446,0.93392944,4980
0.13771221,0.938718,4990
0.1417187,0.93602127,5000
0.15171888,0.9324202,5010
0.1474272,0.9320799,5020
0.14755513,0.932659,5030
0.15854198,0.928455,5040
0.13709587,0.9365055,5050
0.13117391,0.94175875,5060
0.12804815,0.93982625,5070
0.13932866,0.93825626,5080
0.13794251,0.93855727,5090
0.14730887,0.93245834,5100
0.119491436,0.9468715,5110
0.15777089,0.926606,5120
0.12627488,0.9418571,5130
0.1216399,0.94505125,5140
0.14246629,0.93317145,5150
0.12907189,0.93986803,5160
0.15334357,0.9305256,5170
0.16110179,0.9266478,5180
0.13419996,0.9407236,5190
0.15537739,0.9270831,5200
0.14011945,0.93555486,5210
0.13489142,0.9401427,5220
0.15820797,0.9243362,5230
0.13326727,0.9361595,5240
0.13985132,0.9337641,5250
0.15757298,0.9295126,5260
0.13367924,0.9381203,5270
0.122850515,0.9450446,5280
0.11633396,0.9466909,5290
0.17797111,0.912935,5300
0.1352934,0.9388786,5310
0.11744371,0.9486361,5320
0.13183285,0.93699664,5330
0.13608517,0.9374077,5340
0.10891784,0.9537373,5350
0.13861847,0.9421171,5360
0.1362796,0.941623,5370
0.1286554,0.9432194,5380
0.12611417,0.94403684,5390
0.1272614,0.9426605,5400
0.120196216,0.94962925,5410
0.13582353,0.9395287,5420
0.14843298,0.93551964,5430
0.11799908,0.94852525,5440
0.11949111,0.9464576,5450
0.12823492,0.9473427,5460
0.13480683,0.9402347,5470
0.12118074,0.94764525,5480
0.14309752,0.9385019,5490
0.13405173,0.9419985,5500
0.12102707,0.9446148,5510
0.09226704,0.9598207,5520
0.123337336,0.94929564,5530
0.121081926,0.94583946,5540
0.123453334,0.9470356,5550
0.125443,0.944417,5560
0.1631151,0.9246403,5570
0.12584965,0.9478067,5580
0.11886613,0.9483442,5590
0.16064662,0.92733073,5600
0.119876884,0.9469528,5610
0.12350395,0.9462271,5620
0.113330886,0.94876456,5630
0.10194144,0.95537925,5640
0.13396838,0.94088435,5650
0.113220446,0.9486918,5660
0.11870072,0.94820064,5670
0.10170955,0.95461315,5680
0.11660127,0.9482531,5690
0.13745858,0.9390118,5700
0.11049923,0.95193887,5710
0.115566514,0.94985354,5720
0.11745999,0.9479914,5730
0.14815217,0.9339613,5740
0.11079319,0.9508429,5750
0.10053329,0.9549169,5760
0.11065063,0.9492127,5770
0.11624482,0.9461498,5780
0.12728804,0.9411734,5790
0.11980072,0.94637567,5800
0.115552306,0.94721025,5810
0.1262088,0.94303817,5820
0.102167204,0.95615983,5830
0.10615646,0.95375276,5840
0.10329783,0.9563472,5850
0.11633708,0.95136243,5860
0.12609614,0.94690937,5870
0.12585136,0.9453776,5880
0.10139091,0.95870245,5890
0.13260844,0.9432507,5900
0.10575442,0.95425534,5910
0.124547146,0.9437422,5920
0.12058265,0.95085406,5930
0.13346134,0.94176984,5940
0.11944511,0.9481808,5950
0.12632145,0.94616026,5960
0.11367298,0.9476963,5970
0.1375977,0.9396698,5980
0.10808964,0.9526318,5990
0.12541719,0.94626975,6000
0.09844497,0.9568091,6010
0.10548263,0.9550549,6020
0.10979409,0.95117164,6030
0.10648675,0.95461845,6040
0.09065778,0.96198595,6050
0.12898241,0.9398126,6060
0.14143929,0.9296784,6070
0.12149021,0.9415289,6080
0.13364734,0.9335901,6090
0.119022965,0.94790864,6100
0.13423003,0.9437773,6110
0.10935419,0.953312,6120
0.11703139,0.94931483,6130
0.115779474,0.952121,6140
0.102160856,0.95656496,6150
0.12258753,0.9485464,6160
0.112340234,0.95035917,6170
0.11219838,0.95235115,6180
0.1352424,0.9397511,6190
0.115891546,0.9491339,6200
0.11840245,0.9507669,6210
0.11309871,0.95043284,6220
0.14100598,0.936635,6230
0.11040578,0.95314807,6240
0.12343292,0.94625384,6250
0.12252917,0.9470974,6260
0.11812952,0.948553,6270
0.12446752,0.94648415,6280
0.12832128,0.9452727,6290
0.1285986,0.945509,6300
