Loss,Accuracy,Recall,Precision,F1-Score,Batch
0.40880644,0.838705,0.78454,0.89670515,0.8367961,2035
0.4355046,0.8265724,0.77325696,0.88755757,0.8264034,2040
0.39501524,0.8475642,0.79251355,0.8996398,0.84256834,2045
0.37929335,0.85413766,0.8032072,0.90345913,0.8502424,2050
0.4363084,0.8291853,0.7659231,0.89126664,0.82374376,2055
0.4066732,0.83979124,0.79069096,0.8924586,0.8383243,2060
0.38055158,0.84804267,0.79832506,0.9001284,0.84594536,2065
0.39086422,0.8483003,0.7985148,0.8971083,0.84456986,2070
0.39927372,0.8412805,0.7843879,0.9016235,0.8388893,2075
0.41140446,0.834558,0.78137,0.8961069,0.8347419,2080
0.37697408,0.85307187,0.8050434,0.9077228,0.8531017,2085
0.39089474,0.8484548,0.7933326,0.90108734,0.84374213,2090
0.4100107,0.83495164,0.7746071,0.8955741,0.8305823,2095
0.4028218,0.83744,0.784173,0.89154226,0.83418417,2100
0.37223133,0.85595375,0.8072917,0.904337,0.85293823,2105
0.35610786,0.85722464,0.80586785,0.9092458,0.8543751,2110
0.41698217,0.8350623,0.78068876,0.8879836,0.83083886,2115
0.35896096,0.85842705,0.80826473,0.90720654,0.85480195,2120
0.39131963,0.8428232,0.79206735,0.89250326,0.8392491,2125
0.39809194,0.842917,0.79035157,0.89637,0.83997697,2130
0.35726917,0.85702467,0.80598897,0.9111042,0.85525614,2135
0.39663127,0.842194,0.7900892,0.89397264,0.838609,2140
